constituency_id,candidate_name,symbol_id
NA-196,Aijaz Hussain Jakhrani,12
NA-196,Khalid Nawaz Jakhrani,73
NA-196,Sharif Khan,32
NA-196,Shafiq Ahmed Khoso,196
NA-196,Zaheer Ahmed,85
NA-196,Abdul Ghani AG Ansari,31
NA-196,Abdul Wahid,147
NA-196,Fahad Khan,145
NA-196,Muhammad Mian Soomro,19
NA-196,Maula Baksh Soomro,5
NA-196,Nawab Ali,281
NA-197,Ehsan-ur-Rehman Mazari,12
NA-197,Umed Ali,56
NA-197,Khadim Hussain,130
NA-197,Zulfiqar Ali,3
NA-197,Raj Kumar,23
NA-197,Rab Nawaz,196
NA-197,Shoaib Khan Khoso,4
NA-197,Shamsher Ali Mazari,31
NA-197,Abdul Aziz Samejo,248
NA-197,Abdul Ghani Bijarani,259
NA-197,Faique Ali Jakhrani,282
NA-197,Fatehdin Khan,11
NA-197,Muhammad Bux Jakhrani,183
NA-197,Muhammad Ali,18
NA-197,Mir Salman Khan Bijarani,149
NA-197,Mir Irfan Ali Khan Bijarani,129
NA-197,Mir Ghalib Hussain Khan,73
NA-197,Nareesh Kumar,13
NA-197,Nazar Ali Khan,67
NA-198,Akbar Khan,149
NA-198,Ameer Ali Jatoi,101
NA-198,Aftab Ahmed Soomro,19
NA-198,Zohaib Jatoi,264
NA-198,Syed Momin Ali Shah,67
NA-198,Abid Hussain Bhayo,12
NA-198,Abid Hussain Jatoi,87
NA-198,Abdul Bari,26
NA-198,Abdullah Pahore,31
NA-198,Irfan Ahmed Khan Jatoi,196
NA-198,Muhammad Ibrahim Jatoi,56
NA-198,Naeem Ahmed Khan Jatoi,287
NA-198,Wahid Bux Bhaya,177
NA-199,Israr Aslam Abro,113
NA-199,Baksh Khan Mahar,287
NA-199,Zulfiqar Ali Kamario,12
NA-199,Abdullah,31
NA-199,Ghous Bux Khan Mahar,259
NA-199,Qamaruddin Abro,196
NA-199,Muhammad Arif Khan Mahar,149
NA-199,Najaf Ali Khan Kamario,266
NA-200,Bashir Ahmed,149
NA-200,Bilawal Bhutton Zardari,12
NA-200,Halima Bhutto,19
NA-200,Khair Muhammad,201
NA-200,Rashid Mehmood Soomro,31
NA-200,Tariq Hussain S/O Aijaz Ali Soomro,129
NA-200,Tariq Hussain,167
NA-200,Zaheer Khan,266
NA-200,Abid Hussain,34
NA-200,Azizullah Bhutto,86
NA-200,Ali Nawaz Kunbhar,272
NA-200,Inayat Ali Umrani,105
NA-200,Ghulam Murtaza,196
NA-200,Ghulam Murtaza S/O Shah Muhammad Soomro,32
NA-200,Gul Hassan,235
NA-200,Muhabat Ali,299
NA-200,Mehboob Ali,85
NA-200,Mushtaque Hussain Buriro,56
NA-201,Allah Bux Unar,259
NA-201,Khursheed Ahmed Junejo,12
NA-201,Saifullah Abro,167
NA-201,Shafqat Hussain Unar,34
NA-201,Ghulam Murtaza Shah,318
NA-201,Qurat-ul-Ain,19
NA-201,Muhammad Ali Bughio,235
NA-201,Nazir Ahmed Bughio,142
NA-202,Akhtar Hussain Shaikh,129
NA-202,Ayaz Hussain,41
NA-202,Aftab Shahban Mirani,12
NA-202,Rabb Nawaz Tunia,237
NA-202,Sarfaraz Ahmed,105
NA-202,Sultan Ahmed Khan Khuhawar,196
NA-202,Saifullah Abro,167
NA-202,Liaqat Ali,149
NA-202,Musarrat Shah,19
NA-202,Muzafar Ali Brohi,177
NA-202,Mir Imran Ali,153
NA-202,Nasir Mehmood,31
NA-202,Nazeer Hussain Magsi,287
NA-203,Zulfiqar Ali,40
NA-203,Sakhawat Ali,19
NA-203,Saifullah Abro,280
NA-203,Abdul Manan Chandio,139
NA-203,Ghulam Murtaza Shah,318
NA-203,Faiz Muhammad,259
NA-203,Muhib Ali Phulpoto,53
NA-203,Muhammad Hussam,317
NA-203,Mir Amer Ali Khan Magsi,12
NA-203,Nawabuddin,105
NA-203,Nawabzada Rehan Chandio,204
NA-204,Jam Waseem Ahmed,123
NA-204,Khalid Ahmed Khan Lund,12
NA-204,Shahbaz Ahmed Khan Lund,32
NA-204,Abdul Haqure alias Mian Mitha,142
NA-204,Abdul Wahab,118
NA-204,Lutfullah,147
NA-204,Muhammad Ishaq Laghari,196
NA-204,Muhammad Yousif,31
NA-204,Mian Rafique Ahmed,109
NA-204,Hallar Khan Pitafi,212
NA-205,Ahsanullah,12
NA-205,Ikramullah Khan,25
NA-205,Jam Asif Razzak Khan,44
NA-205,Abdul Razzaque,142
NA-205,Abdul Qayoom,31
NA-205,Ali Muhammad Khan Mahar,101
