constituency_id,candidate_name,party_abbreviation,symbol_name
NA-101,isfaq ahmad,TLI,Cannon 
NA-101,MUHAMMAD ASIM NAZIR,Independent,Charpai 
NA-101,MUHAMMAD ZAHIR,Independent,Slate 
NA-101,FAWAD AHMED CHEEMA,Independent,Waist Coat 
NA-101,FARMAN ALI KHAN,Independent,Jug 
NA-101,AFIFA SADDIQUI,MMA,Book 
NA-101,ZAFAR ZULQARNAIN SAHI,PTI,Bat 
NA-101,TARIQ MEHMOOD,PPPP,Arrow 
NA-101,SHABIR AHMAD,Independent,Pencil 
NA-101,SAJJAD AHMAD,APML,Eagle 
NA-101,RIZWAN LIAQUAT,Independent,Knife 
NA-101,AMDAD ALI,AATPK,Chair 
NA-101,IFTIKHAR ALI,TLP,Crane 
NA-101,MUHAMMAD AZEEM ASLAM,Independent,Feather 
NA-102,SANA ULLAH QAMAR BAJWA,Independent,Apple 
NA-102,NAWAB SHER,PTI,Bat 
NA-102,MUHAMMAD KAMRAN,MOP,Ostrich 
NA-102,MUHAMMAD TALLAH BADAR,PML N,Tiger 
NA-102,MUHAMMAD SHAHJAHAN KHAN,PPPP,Arrow 
NA-102,MUHAMMAD BILAL BADAR,Independent,Jeep 
NA-102,MUHAMMAD ASHRAF CHAUDHRY,Independent,Fan 
NA-102,KASHIF ALTAF,AATPK,Chair 
NA-102,UMAIR WASI CHPOUDHRY,Independent,Pitcher 
NA-102,IRFAN SHAHID WASSIR,Independent,Pencil 
NA-102,SYED TAYYAB RAZA SHAH,TLP,Crane 
NA-102,RIAZ AHMED,PPP SB,Fist 
NA-102,SADIA AKHTER,Independent,Human Eye 
NA-102,RASHEED AHMED KHAN RANA,APML,Eagle 
NA-102,CHAUDHRY MUHAMMAD TAYYAB ARIF,Independent,Ox 
NA-102,MUHAMMAD AKRAM CHOUDHRY,Independent,Bucket 
NA-104,CH MUHAMMAD SHAHBAZ BABAR,PML N,Tiger 
NA-104,MUHAMMAD FAHEEM AKHTAR,Independent,Screw Driver 
NA-104,MUHAMMAD SHAUKAT IQBAL,Independent,Bullock Cart 
NA-104,MUHAMMAD BILAL FAROOQ KHAN,Independent,Water Cooler 
NA-104,FAHAD GHAFFAR,TLP,Crane 
NA-104,ABDUL KHALIQ,AATPK,Chair 
NA-104,SHAFAQAT RASOL,Independent,Binoculars 
NA-104,SARDAR SARFRAZ AHMAD CHEEMA,Independent,Jug 
NA-104,SRDAR DILDARV AHMAD CHEEMA,PTI,Bat 
NA-104,RANA MUHAMMAD FAROOQ SAEED KHAN,PPPP,Arrow 
NA-104,RAHEEL ABID,TLI,Cannon 
NA-104,KHALID MEHMOOD GULL,Independent,Bucket 
NA-104,CH MAZHAR ALI GULL,Independent,Ox 
NA-104,MUHAMMAD YOUNAS,Independent,Hammer 
NA-103,ZULFIQAR ALI,Independent,Bucket 
NA-103,MUHAMMAD SADIQ,AATPK,Chair 
NA-103,MUHAMMAD SAEED,TLI,Cannon 
NA-103,MUHAMMAD SAAD ULLAH,PTI,Bat 
NA-103,MUHAMMAD KHAN NADEEM,Independent,Cricket Stumps 
NA-103,MUHAMMAD AHMED,Independent,Pickup 
NA-103,ALI GOHAR KHAN,PML N,Tiger 
NA-103,SHAHADAT ALI KHAN,PPPP,Arrow 
NA-103,RAI IJAZ HUSSAIN,TLP,Crane 
NA-103,MUDASSAR AHMED SHAH,MMA,Book 
