constituency_id,candidate_name,symbol_id
NA-52,Asia Bibi,239
NA-52,Asrar Ahmad Abbasi,149
NA-52,Bilal Faisal Amin,31
NA-52,Hafiz Muhammad Aslam,51
NA-52,Raja Khuram Shehzad Nawaz,19
NA-52,Rizwan Ahmad,71
NA-52,Syed Amjad Ali Shah,28
NA-52,Syed Hassan Zafar,67
NA-52,Tariq Fazal Chaudhry,284
NA-52,Muhammad Afzal Khokhar,12
NA-52,Nazeer ul Haq,61
NA-53,Asif,158
NA-53,Asif Fazal Chaudhary,5
NA-53,Amjad Masih,321
NA-53,Javed Akhter,73
NA-53,Chaudhary Saeed Ahmad,55
NA-53,Khawaja Khalil Ur Rehman,235
NA-53,Raja Qadeer Ahmad,180
NA-53,Zaib Ur Rehman,39
NA-53,Syed Amjad Ali Shah,263
NA-53,Syed Sibt Ul Haidar Bukhari,12
NA-53,Syed Zafar Ali Shah,63
NA-53,Shahid Khaqan Abbasi,284
NA-53,Shamakh Hassan Khan,174
NA-53,Shahzad Asif Javed,85
NA-53,Ayesha Gulalai Wazir,214
NA-53,Abdul Hafeez,51
NA-53,Abdul Wahab,118
NA-53,Ammar Rasheed,40
NA-53,Imran Ahmad Khan Niazi,19
NA-53,Ghazanfar Mehdi,216
NA-53,Ghulam Rasool,61
NA-53,Muhammad Asif Nawaz,144
NA-53,Muhammad Afnan Umer Bloch,71
NA-53,Muhammad Amjad,93
NA-53,Muhammad Zafar,149
NA-53,Makhdom Muhammad Niaz Inqlahi,101
NA-53,Malik Muhammad Yousaf,241
NA-53,Mansoor Akash Randhawa,239
NA-53,Mian Muhammad Aslam,31
NA-53,Nasir Mehmood,136
NA-53,Nasir Munir Ahmad,273
NA-53,Nadeem Ul Zafar Khan,215
NA-53,Nadeem Sarwar,162
NA-53,Haroon Arshad Shekh,128
NA-54,Usama,218
NA-54,Asad Umer,19
NA-54,Anjum Aqeel Khan,284
NA-54,Anwar Ul Haq,128
NA-54,Anwar Khan,100
NA-54,Badee Ur Rehman,266
NA-54,Tasneem Ul Haq Hassani,309
NA-54,Chan Mehboob Noon Awan,196
NA-54,Hamid Shamim,123
NA-54,Hafeez Ur Rehman,39
NA-54,Raja Imran Ashraf,12
NA-54,Zubair Farooq Khan,41
NA-54,Sajid Mehmood,71
NA-54,Shamakh Hassan Khan,67
NA-54,Shamas Ur Rehman,149
NA-54,Saima Sheraz,180
NA-54,Tayyab Nawaz Malik,51
NA-54,Amir Naeem,295
NA-54,Ismat Raza,40
NA-54,Azeem Khan,177
NA-54,Fatima Malik,61
NA-54,Muhammad Ashraf Shehzad Khan,9
NA-54,Muhammad Munawar,151
NA-54,Mian Aftab Ahmad,230
NA-54,Mian Muhammad Aslam,31
NA-54,Maimoonah,214
NA-54,Mewa Khan,169
