constituency_id,candidate_name,party_abbreviation,symbol_name
PB-36,Hafiz Muhammad Ibrahim Lehri,MMA,Book 
PB-36,Mir Zafarullah Khan Zehri,BNP-A,Camel 
PB-36,Mir Shafique ur Rehman,Independent,Rabbit 
PB-36,Muhammad Anwer,Independent,Suitcase 
PB-36,Abdullah Ali,PTI,Bat 
PB-36,Abdul Rasool,BNP,Axe 
PB-36,Shah Muhammad,JUI (Nazryat),Takhti 
PB-36,Saifullah,Independent,Lock 
PB-36,Rameen Rustam,BAP,Cow 
PB-36,Hassan Ali Sasoli,Independent,Human Eye 
PB-36,Mir Naimatullah Zehri,Independent,Spade 
PB-13,Izhar hussain,Independent,Jeep 
PB-13,Mahbul,ANP,Lantern 
PB-13,Mir Baig,Independent,Wheel Chair 
PB-13,Faiq Ali Jamali,BAP,Cow 
PB-13,Ghulam Haider,BNP,Axe 
PB-13,Umer Khan Jamali,PTI,Bat 
PB-13,Ali Haider,Independent,Pitcher 
PB-13,Attaullah,JUI (Nazryat),Takhti 
PB-13,Abdul Majeed,MMA,Book 
PB-13,Abdul Aziz Khosa,Independent,Fan 
PB-13,Sain Bakhsh,PJDP,Gavel 
PB-13,Zareena Gul,PPPP,Arrow 
PB-13,Rahat Jamali,Independent,Bucket 
PB-13,Khan Mohammad,PFP,Ship 
PB-13,Habibullah,JQM,Electric Pole 
PB-13,Ghanwar Ali,GDA,Star 
PB-8,Aurangzeb Khetran,Independent,Gun 
PB-8,Meer Nadir Shah,BNP-A,Camel 
PB-8,Mir Shahjahan Khan Khetran,BAP,Cow 
PB-8,Mir Zahid Shah,PFM,Date Tree 
PB-8,Muhammad Tariq,PTI,Bat 
PB-8,Abdul Majeed,BNP,Axe 
PB-8,Abdul Kareem,NP,Saw 
PB-8,Abdullah Jan,PMAP,Tree 
PB-8,Shazia Shahjahan Khetran,Independent,Mobile Phone 
PB-8,Sardar Abdul Rehman Khetran,Independent,Sewing Machine 
PB-8,Rehmat Khan,JWP,Wheel 
PB-8,Bibi Zohra,Independent,Knife 
PB-8,Wadera Nazeer Ahmed,BNM,Sickle 
PB-15,Ahmed Nawaz,PPPP,Arrow 
PB-15,Nisar Ahmed,PTI,Bat 
PB-15,Meer Hassan,PFP,Ship 
PB-15,Muhammad Saddique,MMA,Book 
PB-15,Muhammad Dauran,NP,Saw 
PB-15,Qadir Bakhsh,Independent,Jug 
PB-15,Abdul Aziz Khosa,Independent,Fan 
PB-15,Saddam Hussain,BNP,Axe 
PB-15,Sohrab Khan,Independent,Ox 
PB-15,Saleem Ahmed,BAP,Cow 
PB-15,Siraj Rehman,Independent,Goat 
PB-15,Raheem Bakhsh Raja,Independent,Pitcher 
PB-15,Nawabzada Shazain Bugti,JWP,Wheel 
PB-20,Agha Syed Liaqat Ali,PMAP,Tree 
PB-20,Sheer Muhammad Tareen,Independent,Goat 
PB-20,Nizamuddin,Independent,Sewing Machine 
PB-20,Zafar Ali,Independent,Pomegranate 
PB-20,Abdul Hadi Tareen,Independent,Leaf 
PB-20,Attiq ul Rehman,PML N,Tiger 
PB-20,Lutfullah,Independent,Sun Flower 
PB-20,Muhammad Raheem,Independent,Jeep 
PB-20,Muhammad Zaman,Independent,Slate 
PB-20,Shamsullah,Independent,Pickup 
PB-20,Shakila Navid Qazi,BNP,Axe 
PB-20,Syed Noor Ul Haq,Independent,Mobile Phone 
PB-20,Aman Ullah,PTI,Bat 
PB-20,Khalid Shah,Independent,Mountain 
PB-20,Syed Jamal Abdul Nasir,PPPP,Arrow 
PB-20,Syed Abdul Bari,ANP,Lantern 
PB-20,Syed Abdul Salam,Independent,Apple 
PB-20,Syed Muhammad Raheem Agha,BAP,Cow 
PB-20,Syed Muhammad Ramzan,PRHP,Iron 
PB-20,Syed Muhammad Fazal Agha,MMA,Book 
PB-20,Naseeb Ullah,Independent,Printer 
PB-34,Allah Bakhsh,JUI (Nazryat),Takhti 
PB-34,Mir Rehmatullah,Independent,Ox 
PB-34,Muhammad Arif,Independent,Jeep 
PB-34,Mabat Khan,Independent,Parrot 
PB-34,Abdul Waheed,Independent,Gun 
PB-34,Sardar Zada Sadat,AATPK,Chair 
PB-34,Haji Arz Muhammad Barech,Independent,Goat 
PB-34,Taj Muhammad,Independent,Hud Hud 
PB-34,Bahadur Shah,TLI,Cannon 
PB-34,Balach Khan,PPPP,Arrow 
PB-34,Amanullah Notezai,PTI,Bat 
PB-34,Amanullah,BAP,Cow 
PB-34,Najeebullah,MMA,Book 
PB-33,Aurangzaib,Independent,Jeep 
PB-33,Mujeeb Ur Rehman,Independent,Sewing Machine 
PB-33,Muhammad Ayub,BNP-A,Camel 
PB-33,Muhammad Akram,Independent,Suitcase 
PB-33,Muhammad Rahim,BNP,Axe 
PB-33,Muhammad Naeem,Independent,Computer 
PB-33,Manzoor Ahmed,Independent,Pitcher 
PB-33,Mir Ahmed Khan Mengal,Independent,Sun Flower 
PB-33,Mir Ghulam Dastagir Badini,BAP,Cow 
PB-33,Mir Muhammad Ishaq,Independent,Hud Hud 
PB-33,Fazal Ur Rehman,AATPK,Chair 
PB-33,Fazal Ur Rehman,Independent,Apple 
PB-33,Aziz Ahmed,Independent,Wheel Barrow 
PB-33,Sana Ullah,Independent,Pickup 
PB-33,Changaiz Khan,PTI,Bat 
PB-33,Khair Bakhsh,NP,Saw 
PB-33,Remat Ullah,JWP,Wheel 
PB-33,Sher Muhammad,Independent,Bucket 
PB-33,Abdul Haye,MMA,Book 
PB-33,Abdul Rauf,PML N,Tiger 
PB-33,Abdul Waheed,Independent,Gun 
PB-33,Fida Ur Rehman,JUI (Nazryat),Takhti 
PB-33,Wazir Khan Mengal,Independent,Rabbit 
PB-22,Jalaluddin,AATPK,Chair 
PB-22,Mohammad Hashim Khan,Independent,Door 
PB-22,Muhammad Nawaz,MMA,Book 
PB-22,Mohammad Shafey,Independent,Roots 
PB-22,Mohammad Anwar,JUI (Nazryat),Takhti 
PB-22,Muhammad Akbar,ANP,Lantern 
PB-22,Abdul Majeed Khan,PMAP,Tree 
PB-22,Abdul Khaliq,BNP,Axe 
PB-22,Abdul Bari,BAP,Cow 
PB-22,Sadeeq,PPPP,Arrow 
PB-22,Sirajuddin,Independent,Basket 
PB-22,Ahmed Khan,Independent,Fort 
PB-22,Muhammad Hashim Khan,Independent,Apple 
PB-3,Hamid Ullah,JUI (S),Ladder 
PB-3,Nawabzada Muhammad Ashraf Jogezai,Independent,Suitcase 
PB-3,Nawabzada Sher Shah Khan Jogezai,BAP,Cow 
PB-3,Mulana Noor Ullah,MMA,Book 
