constituency_id,candidate_name,party_abbreviation,symbol_name
PK-2,Ishtiaq Ahmad,Independent,Cricket Stumps 
PK-2,Amir Muqam,PML N,Tiger 
PK-2,Bakhat Amin,MMA,Book 
PK-2,Jafar Shah,ANP,Lantern 
PK-2,Sharafat Ali,PTI,Bat 
PK-2,Nawazish Ali,PPPP,Arrow 
PK-6,Akbar Ali Khan,APML,Eagle 
PK-6,Nisarul Mulk,PMAP,Tree 
PK-6,Mukhtar Raza,PPPP,Arrow 
PK-6,Ali Khan,Independent,Fan 
PK-6,Zafarullah Khan,JUI (Nazryat),Takhti 
PK-6,Sher shah,ANP,Lantern 
PK-6,shahi Nawab,MMA,Book 
PK-6,Saad Eitezaz khan,ATP,Tyre 
PK-6,Raza KHAN,AWP,Bulb 
PK-6,Rahmat Ali,TLP,Crane 
PK-6,Habib Ali Shah,PML N,Tiger 
PK-6,Amjad Ali,PTI,Bat 
PK-6,Imtiaz Khan,Independent,Apple 
PK-6,Yaqoob Khan,Independent,Thermos 
PK-15,Khalid Mehmood,Independent,Fan 
PK-15,Muzafar Said,MMA,Book 
PK-15,Mahmoood Zeb Khan,PPPP,Arrow 
PK-15,Muhabat said,APML,Eagle 
PK-15,Abdur Rauf,Independent,Pencil 
PK-15,Shafi Ullah,PTI,Bat 
PK-15,Shah Khizar,PML Z,Helicopter 
PK-15,Sayad Inayat Ur Rehman,PML N,Tiger 
PK-15,Sumera,Independent,Handbag 
PK-15,Sajjad Ahmad,ANP,Lantern 
PK-15,Noor Muhammad,Independent,Pickup 
PK-13,Azhar Taqweem,PML N,Tiger 
PK-13,shad Nawaz Khan,MMA,Book 
PK-13,Shah saood,Independent,Butterfly 
PK-13,Muhammad Azam Khan,PTI,Bat 
PK-13,Muhammad Zamin Khan,PPPP,Arrow 
PK-13,Malak Muhammad Zaib khan,ANP,Lantern 
PK-13,Hidayat Ullah Khan,Independent,Pencil 
PK-22,Bakht Biland Khan,QWP,Oil Lamp 
PK-22,Raj wali Khan,MMA,Book 
PK-22,Sardar Hussain,ANP,Lantern 
PK-22,Said Muhammad Shamsher,PPPP,Arrow 
PK-22,Abdul Kabir Khan,PTI,Bat 
PK-22,Yousaf Ali,Independent,Teapot 
PK-26,Afsar,Independent,Charpai 
PK-26,Sidra Khalid,PTI,Bat 
PK-26,Abdul Ghafar,Independent,Teapot 
PK-26,Nusrat Sherazi,MMA,Book 
PK-25,Abdullah Quresheshi,QWP,Oil Lamp 
PK-25,Manan Shah Independent,Independent,Sun Flower 
