constituency_id,candidate_name,party_abbreviation,symbol_name
PP-4,SHER ALI KHAN,PML N,Tiger 
PP-4,MUHAMMAD AKHTER,PPPP,Arrow 
PP-4,MALIK AMMANAT KHAN,TLP,Crane 
PP-4,MALIK RIASAT ALI,Independent,Fan 
PP-4,MALIK MUHAMMAD ANWAR,PTI,Bat 
PP-1,HAMEED AKBAR,Independent,Ox 
PP-1,SARDAR ASIM NAWAZ KHAN,Independent,Pitcher 
PP-1,SYED YAWER ABBAS BUKHARI,PTI,Bat 
PP-1,IRFAN JAFFAR,PPPP,Arrow 
PP-1,UMAR ARSHAD,TLP,Crane 
PP-1,MUHAMAMD IQBAL,MMA,Book 
PP-1,MUHAMMAD SALMAN SARWAR,PML N,Tiger 
PP-1,NOMAN KHAN,Independent,Pencil 
PP-5,KHURRAM SHEHZAD KHAN,MUMCP,Combat Aircraft 
PP-5,MANZAR AMIR,Independent,Fan 
PP-5,MALIK HARRON RAMZAN,Independent,Pitcher 
PP-5,MALIK JAMSHEED ALTAF,PTI,Bat 
PP-5,MALIK BAHADUR YAAR,PML N,Tiger 
PP-5,SYED ABBAS MOHIIUDDIN,Independent,Apple 
PP-5,SYED AHSAN MEHMOOD SHAH GELLANI,TLP,Crane 
PP-5,RAZIQ DAD KHAN,MMA,Book 
PP-5,DAUD ALAM,TLI,Cannon 
PP-5,NIAZ ALI MALIK,Independent,Bucket 
PP-3,ASIF ALI MALIK,PML N,Tiger 
PP-3,TAJ UD DIN,MMA,Book 
PP-3,RAHAT ALI KHAN,TLP,Crane 
PP-3,IMRAN ALI KHAN,PJDP,Gavel 
PP-3,TAHIR SADIQ,PTI,Bat 
PP-3,MUHAMMAD ARSHAD,PST,Table Lamp 
PP-3,MIHAMMAD RIAZ KHAN,PPPP,Arrow 
PP-6,AMJAD ARBAB ABBASI,PFP,Ship 
PP-6,MUHAMAMD MUBARIK ABBASI,Independent,Television 
PP-6,MUHAMMAD LATSUB SATTI,PTI,Bat 
PP-6,FAISAL MEHMOOD SATTI,Independent,Bucket 
PP-6,SHERBAZ,Independent,Jeep 
PP-6,RAJA SOHAIL AKHTER,PMP 2,Rope 
PP-6,SAJJAD AHMED ABBASI,PPPP,Arrow 
PP-6,SAJJAD AHMED,MMA,Book 
PP-6,SAJID MEHMOOD SATTI,Independent,Wrist Watch 
PP-6,RAJA YASIR MEHMOOD,Independent,Gun 
PP-6,RAJA ASHFAQ SARWAR,PML N,Tiger 
PP-6,JAWED AHMED ABBASI,Independent,Mountain 
PP-6,NAYYAB MUNIR,TLP,Crane 
PP-7,TANWIR AHMED,MMA,Book 
PP-7,CHAUDHRY MUHAMAMD AYUB,PPPP,Arrow 
PP-7,RAJA SAGHEER AHMED,Independent,Bucket 
PP-7,RAJA MUHAMMAD ALI,PML N,Tiger 
PP-7,GHULAM MURTAZA SATTI,PTI,Bat 
PP-7,MANSOOR ZAHOOR,TLP,Crane 
PP-2,AHMED KHANZADA,PPPP,Arrow 
PP-2,JAHANGIR KAHNZADA,PML N,Tiger 
PP-2,CHANGAIZ KHAN,MMA,Book 
PP-2,SYED TAHIR ALI SHAH,TLP,Crane 
PP-2,SHOUKAT HAYAT,PJDP,Gavel 
PP-2,QAZI AHMED AKBAR,PTI,Bat 
PP-2,LIAQAT MEHMOOD,Independent,Bucket 
PP-15,KHALID MEHMOOD ALVI,MMA,Book 
PP-15,NASIR ALI KHAN,Independent,Combat Tank 
PP-15,MALIK ABDUL KARIM KHAN,Independent,Bucket 
PP-15,MALIK SHAHZAD YASIN,AATPK,Chair 
PP-15,MALIK IFTIKHAR AHMED,PML N,Tiger 
PP-15,MUHAMMAD JAVED IQBAL MALIK,PPPP,Arrow 
PP-15,UMER TANVEER,PTI,Bat 
PP-15,TAHIR MEHMOOD,TLP,Crane 
PP-15,TAHIR IQBAL,PST,Table Lamp 
PP-15,SHABBIR HUSSAIN,Independent,Jeep 
PP-15,NASIR MEHMOOD,PAL,Hockey 
PP-17,DANISH ATTA,Independent,Bucket 
PP-17,MUHAMAMD ZIA UL HAQ ABBASI,Independent,Basket 
PP-17,MUHAMMAD AMEEN,APML,Eagle 
PP-17,FAYAZ UL HASAN CHOHAN,PTI,Bat 
PP-17,GHULAM MUHAMMAD CHAUHDRY,Independent,Jeep 
PP-17,ABDUL HANIF,PML N,Tiger 
PP-17,ARIF MEHMOOD,TJP,Laptop 
PP-17,SHEIKH MUHAMMAD NADEEM,TLP,Crane 
PP-17,RAZA AHMED SHAH,MMA,Book 
PP-17,RAJA ABDUL HABIB,Independent,Sun Flower 
PP-17,RAJA SAAD SHABIR AHMED SAATTI,PFM,Date Tree 
PP-17,NASAR ULLAH KHAN,PTI N,Batsman 
PP-26,ABRAR HUSSAIN,Independent,Jug 
PP-26,MUHAMMAD JAMEEL,PJDP,Gavel 
PP-26,MUJAHID MEHMOOD BABAR,PTI (G),Racket 
PP-26,GULFARAZ AHMED,PSP,Dolphin 
PP-26,ZAFAR IQBAL,PTI,Bat 
PP-26,SIKANDER AZAM,AATPK,Chair 
PP-26,SAEEDA MEHNAZ,APML,Eagle 
PP-26,RAJA ZAFAR IQBAL,Independent,Jeep 
PP-26,HAMZA NAVEED,Independent,Sheep 
PP-26,CHAUDHRY LAL HUSSIAN,PML N,Tiger 
PP-26,CHAUDHRY KASHIF ISLAM,PPPP,Arrow 
PP-26,CHAUDHRY SAEED IQBAL,Independent,Bucket 
PP-26,BILAL AZHAR KIYANI,Independent,Aabshar(Water Fall) 
PP-26,ASHFAQ AHMED,Independent,Charpai 
PP-26,MALIK SHOUKAT HAYAT AWAN,TLP,Crane 
PP-21,AAJ MUHAMMAD,PMAP,Tree 
PP-21,RAJA USMAN HAROON,Independent,Jeep 
PP-21,SULTAN HAIDER ALI KHAN,PML N,Tiger 
PP-21,SYED TASSADUQ MANZOOR,TLP,Crane 
PP-21,MUHAMAMD AMIN,TLI,Cannon 
PP-21,MUHAMAMD AYUB,AATPK,Chair 
PP-21,WAQAR ALI,Independent,Sparrow 
PP-21,YASIR HUMAYUN,PTI,Bat 
PP-20,AHSAN ABDULLAH MALIK,ATP,Tyre 
PP-20,MALIK TAIMOOR MASOOD,PTI,Bat 
PP-20,MUHAMMAD WAQAS KHAN,MMA,Book 
PP-20,MUHAMMAD SARWAR,Independent,Pickup 
PP-20,MUHAMMAD ASLAM KHAN,TLP,Crane 
PP-20,FAISAL IQBAL,Independent,Jeep 
PP-20,AMIR IQBAL,PPPP,Arrow 
PP-20,TARIQ MEHMOOD,PST,Table Lamp 
PP-20,RAJA MUHAMMAD SARFRAZ ASGHAR,PML N,Tiger 
PP-20,BABER MEHMOOD,Independent,Leaf 
PP-20,AMJAD HUSSAIN SHAH,Independent,Mobile Phone 
PP-20,NADEEM GHAFOOR,Independent,Pencil 
PP-22,TANVEER ASLAM MALIK,PML N,Tiger 
PP-22,CHAUDHRY ZAIN UL ABIDEEN,Independent,Bowl 
PP-22,HUSNAIN MEHMOOD SHAH,TLP,Crane 
PP-22,RAJA MUHAMAMD RIZWAN,PPPP,Arrow 
PP-22,SULTAN MUHAMMAD KHALID MUNEER NAWABI,Independent,Bucket 
PP-22,TARIQ MEHMOOD AFZAL,PTI,Bat 
PP-22,ABDUL REHMAN,TLI,Cannon 
PP-22,MUSHTAQ SHOAIB,AATPK,Chair 
PP-22,MATLOOB ALAM,Independent,Jeep 
PP-16,ARSLAN HAFEEZ,PML N,Tiger 
PP-16,IJAZ MEHMOOD ABBASI,Independent,Ox 
PP-16,CHAUDHRY IFTIKHAR AHMED,PPPP,Arrow 
PP-16,RAJA RASHIF HAFEEZ,PTI,Bat 
PP-16,SULTANFAIZ,Independent,Sheep 
PP-16,SYED SAEED UL HASSAN RIZVI,PSP,Dolphin 
PP-16,QAZI ABDUL KHABEER,TLP,Crane 
PP-16,MUHAMMAD HANIF CHAUDHRY,MMA,Book 
PP-14,AGHA MUJEEB AHMED KHAN,PPPP,Arrow 
PP-14,MUHAMMAD WASEEM FARUKH,TLP,Crane 
PP-14,MUHAMMAD NASIR,Independent,Charpai 
PP-14,MUHAMMAD QASIM,Independent,Revolver 
PP-14,MUHAMMAD BASHARAT RAJA,PTI,Bat 
PP-14,ZAFAR IQBAL,Independent,Bucket 
