constituency_id,candidate_name,party_abbreviation,symbol_name
PS-14,Akhtar Hussain Sheikh,Independent,Hammer 
PS-14,Mir Nadir Ali Maqsi,PPPP,Arrow 
PS-14,Mir Ghaibi Khan,Independent,Goat 
PS-14,Muzafar Ali Brohi,GDA,Star 
PS-14,Mir Imran Ali,Independent,Kettle 
PS-14,Muhammad Umar,TLP,Crane 
PS-14,Gul Nawaz,Independent,Bucket 
PS-14,Shamsuddin,Independent,Television 
PS-14,Shaban Ali,Independent,Bullock Cart 
PS-14,Zulfiqar Ali Seelo,Independent,Sun Flower 
PS-14,Hakim Ali,SUP,Car 
PS-14,Imtiaz Ahmed Sheikh,MMA,Book 
PS-14,Naheed,PTI,Bat 
PS-21,Ahsan Ali Mirani,Independent,Tulip 
PS-21,Muneer Ahmed,JUP (Noorani),Key 
PS-21,Munawar Ali,PSP,Dolphin 
PS-21,Muhammad Yaseen,MQM Pakistan,Kite 
PS-21,Mai Irshad,Independent,Apple 
PS-21,Lal Bux,SUP,Car 
PS-21,Gul Muhammad,TPP,Crown 
PS-21,Ali Nawaz Khan Mahar,PPPP,Arrow 
PS-21,Ali Muhammad Khan Mahar,Independent,Fan 
PS-21,Abdul Razzaque,Independent,Human Eye 
PS-21,Saifullah Bhangar,Independent,Pencil 
PS-21,Dilyawar Soomro,Independent,Hammer 
PS-21,Jam Saif Ullah Khan,MMA,Book 
PS-21,Jam Asif Razzaq Khan,Independent,Butterfly 
PS-21,Ikramullah Khan,Independent,Bell 
PS-21,Mir Iftikhar Ahmed Khan Lund,PTI,Bat 
PS-13,Pir Bux Junejo,Independent,Television 
PS-13,Mahmood Ali,Independent,King 
PS-13,Muhammad Mohsin,Independent,House 
PS-13,Muhammad Ali Bughio,Independent,Human Eye 
PS-13,Liaquat Ali Mirani,Independent,Pitcher 
PS-13,Qurat ul Ain,Independent,Leaf 
PS-13,Ghulam Yaseen,MQM Pakistan,Kite 
PS-13,Aasma,SUP,Car 
PS-13,Adil Altaf Unar,GDA,Star 
PS-13,Shafqat Hussain Unar,PTI,Bat 
PS-13,Syed Noor Muhammad Shah,Independent,Water Melon 
PS-13,Suhail Ahmed,Independent,Tooth Brush 
PS-13,Dolat Ali Chandio,PTI (G),Racket 
PS-13,Khalid Ahmed,Independent,Dhol 
PS-13,Hizbullah Bughio,PPPP,Arrow 
PS-13,Jalil Qadir,Independent,Bottle 
PS-13,Naeem Akhtar Javed Shah Rashidi,Independent,Sun Flower 
PS-25,Ahsan Ali Jatoi,APML,Eagle 
PS-25,Abdul Aziz,Independent,Jeep 
PS-25,Abdul Qayyum Rajput,PSP (T),Spade 
PS-25,Ali Sher,TPP,Crown 
PS-25,Ghulam Hassan Chachar,TLP,Crane 
PS-25,Qurban Ali Kalwar,PPP SB,Fist 
PS-25,Mubeen Ahmed,Independent,Traffic Signal 
PS-25,Muhammad Ayub Farooui,Independent,Stapler 
PS-25,Muhammad Dawood,MMA,Book 
PS-25,Muhammad Saleh Indhar,Independent,Human Eye 
PS-25,Muhammad Mubeen,Independent,Brush 
PS-25,Nasir Hussain Shah Rizvi,PPPP,Arrow 
PS-25,Naseem Shoukat,Independent,Pencil 
PS-25,Abdul Haq Buriro,Independent,Pitcher 
PS-25,Shafqat Ali Shah,Independent,Sun Flower 
PS-25,Altaf Ahmed,Independent,Television 
PS-25,Amir Bux alias Meer,Independent,Goat 
PS-25,Agha Sher Khan,PSP,Dolphin 
PS-25,Agha Muhammad Akram Durrani,Independent,Gun 
PS-25,Deedar Ali,Independent,Tooth Brush 
PS-25,Rabnawaz Kalwar,Independent,Cricket Stumps 
PS-25,Siraj Ahmed Khan,Independent,Apple 
PS-25,Sultan Ahmed,Independent,Computer 
PS-25,Syed Ghazanfar Hussain,Independent,Charpai 
PS-25,Syed Kumail Hyder Shah,Independent,Wrist Watch 
PS-25,Syed Naseem Ahmed Hashmi,MQM Pakistan,Kite 
PS-25,Shahid Hussain Ramejo,Independent,Bottle 
PS-25,Nusrat Bano,Independent,Ring 
PS-19,Tashkeel Ahmed Siddiqui,MMA,Book 
PS-19,Mir Chakar Khan,Independent,Knife 
PS-19,Mian Abdul Malik,Independent,King 
PS-19,Mian Shafique Ahmed,Independent,Pencil 
PS-19,Mahmood,Independent,Apple 
PS-19,Ali Gohar Khan Mahar,GDA,Star 
PS-19,Abdul Fatah,Independent,Television 
PS-19,Abdul Ghaffar,Independent,Sun Flower 
PS-19,Abdul Rab,Independent,Flower Pot 
PS-19,Abdul Bari,PPPP,Arrow 
PS-19,Sarang Khan,Independent,Tooth Brush 
PS-19,Rahim Bux Korai,PML N,Tiger 
PS-19,Zulfiqar Ali Shah,Independent,Phole Gobhi 
PS-19,Jam Waseem Ahmed,Independent,Goat 
PS-19,Halar Khan,Independent,Bottle 
PS-9,Israr Ahmed,Independent,Hand Pump 
PS-9,Muzaffar Ali Issani,GDA,Star 
PS-9,Muhammad,Independent,Bowl 
PS-9,Qamaruddin Pirzada,Independent,Pencil 
PS-9,Qamaruddin,Independent,Mobile Phone 
PS-9,Inayat Ali,MWMP,Tent 
PS-9,Rushadallah Shah,MMA,Book 
PS-9,Agha Siraj Khan Durrani,PPPP,Arrow 
PS-9,Agha Rafiuddin Khan Durrani,Independent,Pickup 
PS-9,Agha Imtiaz Ali Khan,PTI,Bat 
PS-9,Israr Aslam Abro,Independent,Jeep 
PS-9,Naeem Abbas,PML N,Tiger 
PS-3,Israr Ahmed,MMA,Book 
PS-3,Mir Mumtaz Hussain Khan,PPPP,Arrow 
PS-3,Muhammad Noor,BNP,Axe 
PS-3,Ghulam Muhammad Shahliani,Independent,Pitcher 
PS-3,Ghulam Shabbir Shah,Independent,Sun Flower 
PS-3,Arz Muhammad,Independent,Gun 
PS-3,Abdul Razzaque Khan,PTI,Bat 
PS-3,Zia ur Rehman,Independent,Tooth Brush 
PS-3,Shafqat Hussain Jakhrani,Independent,Spoon 
PS-3,Sharif Khan,Independent,Bottle 
PS-3,Sajjad Ali Baloch,Independent,Pencil 
PS-3,Mir Noor-Ur-Rehman,Independent,Jeep 
PS-32,Illahi Bux,Independent,Gun 
PS-32,Mureed Hussain Wassan,Independent,Medal 
PS-32,Muhammad Bachal Shah,Independent,Railway Engine 
PS-32,Inayatullah Sheikh,Independent,Pickup 
PS-32,Imran Ali Qazi,Independent,Pencil 
PS-32,Abdul Qayyum,TPP,Crown 
PS-32,Shoukat Ali,Independent,King 
PS-32,Shafqat Ali Mahesar,Independent,Apple 
PS-32,Syed Muhammad Rashid Shah,GDA,Star 
PS-32,Syed Fahad Ali Shah Jilani,Independent,Tulip 
PS-32,Syed Ghous Muhammad Shah,Independent,Knife 
PS-32,Syed Dur Muhammad Shah,Independent,Ring 
PS-32,Sanaullah Jamali,MMA,Book 
PS-32,Nawab Ali Wassan,PPPP,Arrow 
PS-10,Aijaz Ahmed Laghari,Independent,Telephone 
PS-10,Muhammad Bachal,Independent,Gun 
PS-10,Muhammad Aslam,JUP (Noorani),Key 
PS-10,Majid Mian,Independent,Key with Lock 
PS-10,Qadir Bux Bhatti,Independent,Pickup 
PS-10,Faryal Talpur,PPPP,Arrow 
PS-10,Ghulam Mustafa Laghari,Independent,Calculator 
PS-10,Ghulam Muhammad,Independent,Pitcher 
PS-10,Abdul Rehman,Independent,Apple 
PS-10,Hafiz Hussain Bux,PST,Table Lamp 
PS-10,Bashir Ahmed,Independent,Jeep 
PS-10,Ayaz Hussain,Independent,Television 
PS-10,Ameer Buksh Khan Bhutto,PTI,Bat 
PS-10,Muhammad Ali Abro,Independent,Pencil 
PS-24,Azhar Husnain,Independent,Bucket 
PS-24,Mubeen Ahmed,Independent,Hammer 
PS-24,Muhammad Aslam Sheikh,Independent,Bottle 
PS-24,Muhammad Jawaid,Independent,Stapler 
PS-24,Muhammad Zubair Hafeez,MMA,Book 
PS-24,Muhammad Shakeel,Independent,Pencil 
PS-24,Muhammad Tariq Sultan Khan Yousfi,Independent,Bowl 
PS-24,Muhammad Ali,Independent,Ring 
PS-24,Muhammad Waqas Khan,PSP,Dolphin 
PS-24,Munawar Ali Chohan,Independent,Lock 
PS-24,Nizam Uddin,Independent,Fan 
PS-24,Wazir Ali,TPP,Crown 
PS-24,Yar Muhammad Sheikh,Independent,Brush 
PS-24,Liaqat Ali Ansari,Independent,Door 
