constituency_id,candidate_name,party_abbreviation,symbol_name,votes
PS-100,Abdul Qadir Khanzada,Independent,Butterfly,9 
PS-100,Muhammad Noman Siddiqui,Independent,Scooter,6 
PS-100,Hakim Ali,Independent,Bell,3 
PS-100,Allah Dino Soomro,Independent,Sun Flower,2 
PS-100,Muhammad younas Barai,MMA,Book,- 
PS-100,Muhammad Rooh ullah Turabi,Independent,Jeep,- 
PS-100,Muhammad Jabeel Babar,Independent,Spade,- 
PS-100,Munawar Ali Khan Shar,PJDP,Gavel,- 
PS-100,Kareem Bux Gabool,PTI,Bat,- 
PS-100,Ali Gul Khan,GDA,Star,- 
PS-100,Samad Raza,APML,Eagle,- 
PS-100,Arslan Parvez,Independent,Bucket,- 
PS-100,Shehzad,Independent,King,- 
PS-100,Saad Meraj,TLP,Crane,- 
PS-100,Parvez Ahmad Rajpar,Independent,Television,- 
PS-100,Bashir Khan Khashkheli,Independent,Apple,- 
PS-100,Asad Ullah Alvi,Independent,Pomegranate,- 
PS-100,Mola Bux Chand,Independent,Thermos,- 
PS-105,Faisal Rafiq,MQM Pakistan,Kite,20283 
PS-105,Tariq Mahmood,PML N,Tiger,4481 
PS-105,Khalid Hameed,MQM 2,Candle,1691 
PS-105,Muhammad Saad Ali,Independent,Telephone,1172 
PS-105,Rehan,Independent,King,466 
PS-105,Muhammad Ali Azeez,PTI,Bat,418 
PS-105,Syed Muhammad Danish,Independent,Pencil,209 
PS-105,Muhammad Rizwan Dossul,APML,Eagle,156 
PS-105,Junaid Raza Rao,Independent,Tap,152 
PS-105,Syed Abdul Subhan,Independent,Medal,38 
PS-105,Arshad Ali,Independent,Butterfly,25 
PS-105,Syed Nafees Ahmad,Independent,Scooter,- 
PS-105,Ahmad ali,TLP,Crane,- 
PS-105,Sardar Ali,MMA,Book,- 
PS-105,Zulfiqar Ali Qaim Khani,PPPP,Arrow,- 
PS-105,Hafiz Muhammad Shehryar Khan,Independent,Lock,- 
PS-105,Mehmood Abdul Razzaq,PSP,Dolphin,- 
PS-99,Haleem Adil Sheikh,PTI,Bat,6058 
PS-99,Muhammad Akram,TLP,Crane,870 
PS-99,Taj Muhammad,PSP,Dolphin,744 
PS-99,Syed Mussadiq Shah,MQM Pakistan,Kite,589 
PS-99,Mohi uddin Ahmed,Independent,Mobile Phone,487 
PS-99,Ali Muhammad Gabol,AATPK,Chair,312 
PS-99,Shahabuddin,PPPP,Arrow,264 
PS-99,Muhammad Hanif,PRHP,Iron,193 
PS-99,JALIL AHMED MUGHERI,Independent,Computer,173 
PS-99,Zafar Ali,ANP,Lantern,134 
PS-99,Jan Muhammad,Independent,Combat Tank,122 
PS-99,Muhammad Zahid Awan,PMA,Fish,77 
PS-99,Muhammad Ramzan,Independent,Pencil,45 
PS-99,Atta ur Rehman,Independent,Chitrali Cap,43 
PS-99,Muhammad Ismail Brohi,Independent,Goat,38 
PS-99,Muhammad Marjan,MQM 2,Candle,33 
PS-99,Muhammad Hussain,PML (SB),Rickshaw,30 
PS-99,Sardar Muhammad,PMAP,Tree,21 
PS-99,Dildar,Independent,Bucket,12 
PS-99,Sati Khan,Independent,Jeep,8 
PS-99,Muhammad Aslam Bhutto,Independent,Fan,5 
PS-99,Muhammad Hammad Khan Sherwani,Independent,Transformer,4 
PS-99,Muhammad Ghyas,MMA,Book,- 
PS-99,Manzoor Barfat,Independent,Pickup,- 
PS-99,Muhammad Jameel Gul,PML N,Tiger,- 
PS-99,Muhammad Aslam,PKI,Plough,- 
PS-99,Raees Anwarullah Khan,Independent,Apple,- 
PS-99,Dedar Ali,Independent,Fork,- 
PS-99,Pir Muhammad Farakh Shah Sarhandi,Independent,Parrot,- 
PS-99,Pir Umar ud Din Zafar,Independent,House,- 
PS-95,Muhammad Javed Hanif Khan,MQM Pakistan,Kite,21524 
PS-95,Muhammad Mehboob ur Rehman,TLP,Crane,11643 
PS-95,Sajid Hussain,PTI,Bat,7670 
PS-95,Muhammad Ayub Abbasi,MMA,Book,4047 
PS-95,Bachu,Independent,Mobile Phone,3489 
PS-95,Riaz Ahmad,PML N,Tiger,3161 
PS-95,Azam Khan,PPPP,Arrow,2346 
PS-95,Sheraz Waheed,PSP,Dolphin,2050 
PS-95,Muhammad Tanvir Qureshi,MQM 2,Candle,1157 
PS-95,Syed Muhammad Kamran,APML,Eagle,567 
PS-95,Muhammad tariq,PST,Table Lamp,382 
PS-95,Muhammad Islam,PMA,Fish,377 
PS-95,Muhmmad Suhaleheen Qureshi,GDA,Star,271 
PS-95,Abdul Haq,PML (SB),Rickshaw,191 
PS-95,Muhammad Tayyab,Independent,Balloons,115 
PS-95,Abdul Hafiz,Independent,Apple,91 
PS-95,Syed Adnan ul Hassan Gillani,Independent,Lock,71 
PS-92,Muhammad Hussain Khan,MQM Pakistan,Kite,29889 
PS-92,Abida Jillani,PTI,Bat,25639 
PS-92,Muhammad Ashraf Khan,TLP,Crane,6989 
PS-92,Muhammad Farooq,MMA,Book,5932 
PS-92,Shahid Khursheed Rana,PPPP,Arrow,4723 
PS-92,Asmat Anwar,PML N,Tiger,3851 
PS-92,Abdul Jaleel,PSP,Dolphin,3253 
PS-92,Barkat ullah Siddiqui,Independent,Combat Tank,1028 
PS-92,Moiz Shahzad,AATPK,Chair,572 
PS-92,Rida Asim,MQM 2,Candle,571 
PS-92,Shafiq Ahmed,Independent,King,289 
PS-92,Aqib Khan,Independent,Pencil,277 
PS-92,Zameer Waheed Jafri,Independent,Ice Cream,255 
PS-92,Syed Hammad Hussain,Independent,Lock,159 
PS-92,Muhammad Arshad Taqi,PAT,Missile,157 
PS-92,Shahzad Khan,Independent,Aabshar(Water Fall),56 
PS-92,Atif Mansoor Butt,Independent,Apple,52 
PS-92,Muhammad Kashif,Independent,Deep Freezer,50 
PS-92,Syed Khawar Ali Shah,Independent,Fan,17 
PS-92,Syed Muhammad Rafey,Independent,Dhol,11 
PS-86,BANDA ALI LEGHARI,PTI,Bat,38756 
PS-86,SYED GHULAM SHAH JILANI,PPPP,Arrow,34211 
PS-86,PARWEZ ALI,Independent,Fan,628 
PS-86,GHULLAM HUSSAIN,Independent,Gun,449 
PS-86,GHULAM QADIR LEGHARI,SUP,Car,345 
PS-86,ALI NAWAZ RIND,PML N,Tiger,335 
PS-86,ALI ANWAR PANHWAR,Independent,Generator,322 
PS-86,SARTAJ ALI,Independent,Television,229 
PS-86,PIR SYED SALEH SHAH JILANI,Independent,Bottle,99 
PS-86,NOOR NABI JAMALI,Independent,Lock,34 
PS-86,ABDUL AHMEED PANHWAR,Independent,Hammer,- 
PS-86,ABDUL AHKEEM BABAR,MMA,Book,- 
PS-86,MIR ZAFFARULLAH JAMALI,Independent,Pitcher,- 
PS-86,ABDUL AKREEM JAMALI,TLP,Crane,- 
PS-109,Ramzan,PTI,Bat,25345 
PS-109,Muhammad Tahir,MQM Pakistan,Kite,15188 
PS-109,Muhammad Faisal,MMA,Book,8514 
PS-109,Muhammad Dilawar,PSP,Dolphin,5345 
PS-109,Ahmad,TLP,Crane,607 
PS-109,Sakina Anwar,Independent,Scooter,166 
PS-109,ARIF,Independent,Jeep,85 
PS-109,Jerjis Ali Hoti,Independent,Bottle,72 
PS-109,Muhammad Kamran,Independent,'K',26 
PS-109,Raghib Bashir,Independent,Tap,22 
PS-109,Humayun Sultan,Independent,'A',4 
PS-109,Tanvir Ahmed Khan,PML N,Tiger,- 
PS-109,Jahanzeb,Independent,Roller Of Wood,- 
PS-109,Abdullah Niazi,APML,Eagle,- 
PS-109,Abdul Rashid Norani,PPPP,Arrow,- 
PS-109,Amir Nawaz,Independent,King,- 
PS-109,Syed Muhammad Khurram Shah,GDA,Star,- 
PS-109,Syed Parvez Ali Shah Jillani,Independent,'B',- 
PS-97,Raja Azhar Khan,PTI,Bat,10473 
PS-97,Waqar Hussain Shah,MQM Pakistan,Kite,9395 
PS-97,Nusrat ullah,PML N,Tiger,9262 
PS-97,Syed Ghyas Ahmed Hashmi,TLP,Crane,4910 
PS-97,Mansoor Feroz,MMA,Book,4241 
PS-97,Muhammad Naeem,PPPP,Arrow,3877 
PS-97,Abdul Hafiz,Independent,Mobile Phone,1837 
PS-97,Muhammad saad Siddiqui,PSP,Dolphin,1691 
PS-97,Hazar Khan Abro,APML,Eagle,341 
PS-97,Molana Bashir Ahmad,PMA,Fish,241 
PS-97,Muhammad ahmad khan,GDA,Star,180 
PS-97,Rehan Mansoor,Independent,Combat Tank,101 
PS-97,Muhammad Rizwan,MQM 2,Candle,67 
PS-97,Imran Bukhari,Independent,Lock,61 
PS-97,Shakeel Ahmad,ANP,Lantern,53 
PS-97,Maqbool Ahmad,Independent,Bottle,45 
PS-97,Aamir rafique khan,Independent,Cricket Stumps,23 
PS-97,Abdul Azim KHan,Independent,Tulip,15 
PS-97,Mian Muhammad Ilyas Rashid,Independent,Bell,3 
PS-111,IMRAN ISMAIL,PTI,Bat,30576 
PS-111,SUFIAA,MMA,Book,8753 
PS-111,MURTAZA WAHAB,PPPP,Arrow,8502 
PS-111,SHAIKH JAWAID MIR,PML N,Tiger,6401 
PS-111,MUHAMMAD JIBRAN NASIR,Independent,Loudspeaker,6109 
PS-111,SYED MUJAHID RASOOL,MQM Pakistan,Kite,4739 
PS-111,SYED MUBASHIR IMAM,PSP,Dolphin,2419 
PS-111,TAHIRA KOUSAR,TLP,Crane,1477 
PS-111,ALI NAWAB,PST,Table Lamp,1475 
PS-111,ZAKRIA HUSSAIN,GDA,Star,738 
PS-111,ABID,Independent,Pencil,660 
PS-111,MIAN ILYAS MUHAMMAD ABBASI,Independent,Hammer,323 
PS-111,MOHAMMAD ASIF,AATPK,Chair,260 
PS-111,MUHAMMAD AYAZ,Independent,Tap,186 
PS-111,SHAIKH SAMIR MIR,Independent,Tulip,168 
PS-111,Terrance Augusstin Francis,Independent,King,162 
PS-111,MUHAMMAD FAYYAZ PIRZADDA,Independent,Railway Engine,73 
PS-111,NAIMAT ULLAH SHAIKH,Independent,Jeep,56 
PS-111,RAHEEL AHMED SHAH,APML,Eagle,39 
PS-111,FARAZ FAHEEM,PJDP,Gavel,37 
PS-111,ALI AHMED RAFIQ SURMAWALA,Independent,'S',14 
PS-111,YOUNAS KHAN AFRIDI,Independent,Mobile Phone,13 
PS-111,NABEEL NAVEED KHAN,Independent,Butterfly,9 
PS-111,GHULAM MUHAMMAD BANGLANI,Independent,Telephone,8 
PS-106,Jamal uddin Siddiqui,PTI,Bat,25837 
PS-106,Muhammad Zahid,MQM Pakistan,Kite,13159 
PS-106,Ghulam Hashim,TLP,Crane,9656 
PS-106,Muhammad Aslam Ghouri,MMA,Book,8901 
PS-106,Shazad Natha,PPPP,Arrow,6208 
PS-106,Muhammad Tahir Shahzad,PML N,Tiger,5225 
PS-106,Syed Qamar Akhtar Naqvi,PSP,Dolphin,3237 
PS-106,Liaqat Munawar,Independent,Railway Engine,1370 
PS-106,Saleem Suchwani,Independent,Fan,642 
PS-106,Jamal uddin Saeed,Independent,'A',555 
PS-106,Sami Ullah,ANP,Lantern,389 
PS-106,Uzma Saeed,Independent,School Bag,341 
PS-106,Dilwaar Jekson,Independent,King,296 
PS-106,Muhammad Hussain,Independent,Cake,255 
PS-106,Jamshed Ali,Independent,Jeep,238 
PS-106,Laiq Ahmad,MQM 2,Candle,85 
PS-106,Hafiz Muhammad Shehryar Khan,Independent,Ghulail,72 
PS-106,Muhamma Nasir Akbani,Independent,Hanger,18 
PS-106,Adil Niaz Khan,Independent,Tap,17 
PS-90,Abdul Razzaq Raja,PPPP,Arrow,16312 
PS-90,Shahid Iqbal Arain,PML N,Tiger,9363 
PS-90,Ijaz Khan,PTI,Bat,8575 
PS-90,Muhammad Parvez,MQM Pakistan,Kite,7175 
PS-90,Ehsan Ullah,MMA,Book,3443 
PS-90,Muhammad Afzal,TLP,Crane,3313 
PS-90,Imran,AATPK,Chair,914 
PS-90,Muhammad Hanif,PST,Table Lamp,693 
PS-90,Shujat Ali,PSP,Dolphin,602 
PS-90,Muhammad Umra,PRHP,Iron,597 
PS-90,Noor Nawaz Khan,ANP,Lantern,426 
PS-90,Aftab Bux,Independent,King,239 
PS-90,Muhammad Yaqoob,Independent,Mobile Phone,150 
PS-90,Arz Muhammad Rahuojo,GDA,Star,139 
PS-90,Shahid Hussain,Independent,Television,96 
PS-90,Allah Wadhiya,Independent,Pickup,67 
PS-90,Sajida Shabbir,Independent,Gun,66 
PS-90,Zunaira Rehman,Independent,Queen,62 
PS-90,Akhtar Yousaf Arifani,Independent,Sun Flower,56 
PS-90,Irshan Ali,Independent,Hammer,36 
PS-90,Riaz Malik,Independent,Lock,33 
PS-90,Arshan,Independent,Pressure Cooker,20 
PS-90,jahan Shah Pirzada,Independent,Jeep,19 
PS-90,Saddam Tofail,Independent,Computer,11 
PS-90,Zeeshan Mustafa,Independent,Human Eye,10 
PS-90,Shoib Khan,Independent,Apple,8 
PS-108,Syed Abdul Rasheed,MMA,Book,16821 
PS-108,Abdul Nasir Baloch,PTI,Bat,15577 
PS-108,Abdul Majeed,PPPP,Arrow,12252 
PS-108,Sultan Bahadur Khan,PML N,Tiger,11113 
PS-108,Muhammad Zafar Iqbal,TLP,Crane,7958 
PS-108,Shahid Ali,Independent,Pitcher,4350 
PS-108,Habib Hassan,Independent,Bell,3242 
PS-108,Jibran,Independent,Sun Flower,1291 
PS-108,Muhammad Sadiq Rind,PSP,Dolphin,1170 
PS-108,Abdul Subhan,ANP,Lantern,710 
PS-108,Dost Muhamamad Danish,Independent,Pencil,702 
PS-108,Abdul Mateen,PRHP,Iron,512 
PS-108,Peer Muhammad,Independent,Bowl,472 
PS-108,Akhtar Hussain,PPP SB,Fist,435 
PS-108,Tanvir Ahmad,PP,Balloons,203 
PS-108,Adnan,Independent,Whistle,198 
PS-108,Shah Jahan Baloch,Independent,Basket,101 
PS-108,Syed Saleem Shah Gillani,Independent,Bottle,74 
PS-108,Atif Mahmood,Independent,Wrist Watch,43 
PS-110,Khurram Sher Zaman,PTI,Bat,38878 
PS-110,Syed Najmi Alam,PPPP,Arrow,14046 
PS-110,Syed Adil Askari,MQM Pakistan,Kite,11951 
PS-110,Muhammad Rashid,TLP,Crane,11165 
PS-110,Abdul Qadir,MMA,Book,6692 
PS-110,Muhammad Waseem Vohra,PML N,Tiger,4473 
PS-110,Muhammad Sharif awan,PSP,Dolphin,3805 
PS-110,Abdul Qayoom,ANP,Lantern,1291 
PS-110,Wasif Chaman,Independent,Apple,400 
PS-110,Muhammad Mateen,PRHP,Iron,263 
PS-110,Syed Farhan Askari,Independent,Pencil,239 
PS-110,Amanullah,Independent,Railway Engine,195 
PS-110,Muhammad Ayaz,Independent,Tap,147 
