constituency_id,candidate_name,symbol_id
NA-1,Iftikhar ud Din,284
NA-1,Taqdira Ajmal,59
NA-1,Saeed Ur Rehman,147
NA-1,Saleem Khan,12
NA-1,Shahzada Muhammad Taimur Khisrao,266
NA-1,Abdul Latif,19
NA-1,Eid ul Hussain,162
NA-1,Mohammad Amjad,93
NA-1,Muhammad Yahya,92
NA-1,Moulana Abdul Akbar Chitrali,31
NA-1,Nisar Dastageer,196
NA-2,Amjad Ali Khan,12
NA-2,Amir Muqam,284
NA-2,Haider Ali Khan,19
NA-2,Said Qamar,21
NA-2,Ibadullah Khan,73
NA-2,Muhammad Mukhtar,295
NA-2,Miraj Muhammad,169
NA-2,Malak Muhammad Didar Khan,11
NA-2,Mumtaz Ahmad,162
NA-2,Naveed lqbal,31
NA-3,Aftab Shahid,183
NA-3,Hujjat Ullah,330
NA-3,Saleem Rehman,19
NA-3,Shakeel Ahmad,274
NA-3,Shahryar Amirzeb,12
NA-3,Abdul Karim,162
NA-3,Ali Khan,101
NA-3,Mian Muhammad Shahbaz Sharif,284
NA-4,Ibrahim,55
NA-4,Tal Hayat Khan,58
NA-4,Khurshaid Ali,295
NA-4,Shahzad,149
NA-4,Feroz Shah,284
NA-4,Qari Mahmood,31
NA-4,Qamar Zaman,12
NA-4,Muhammad Raza Khan,71
NA-4,Muhammad Salim Khan,162
NA-4,Muhammad Mosa Khan,101
NA-4,Murad Saeed,19
NA-5,HANIF ULLAH KHAN,172
NA-5,RIAZULLAH,183
NA-5,SUBHAN ALl,93
NA-5,SAHIBZADA SIBGHATULLAH,19
NA-5,SAHIBZADA TARIQULLAH,31
NA-5,IMRAN KHAN,162
NA-5,UMAR ZAIB KHAN,292
NA-5,INAYATUL HAQ,85
NA-5,MUHHAMMAD NISAR KHAN,284
NA-5,NAJMUDDIN KHAN,12
NA-6,Ihsan Ullah,71
NA-6,Ahmad Hassan,12
NA-6,Asad Ullah,31
NA-6,Amjad Ali,55
NA-6,Javed Akhtar,284
NA-6,Habib Ullah,93
NA-6,Mehboob Shah,19
NA-6,Muhammad Zahid Khan,162
NA-7,Sobia Shahid,284
NA-7,Siraj Ul Haq,31
NA-7,Syed Shahid Ahmad Jan,12
NA-7,Abdul Ghafar Khan,93
NA-7,Mubarak Jan,149
NA-7,Muhammad Bashir Khan,19
NA-7,Muhammad Khalid,55
NA-7,Nazir Khan,162
NA-8,Inam Ullah Khan,162
NA-8,Bilawal Bhutto Zardari,12
NA-8,Taj Badshah,93
NA-8,Junaid Akbar,19
NA-8,Hussain Khan,24
NA-8,Shams ul Haq,113
NA-8,Zafar Yab Khan,58
NA-8,Alamgir,74
NA-8,Amir Nawab Khan,284
NA-8,Fazal Muhammad,73
NA-8,Gul Naseeb Khan,31
NA-8,Muhammad Khan,201
NA-8,Mian Gul Khurram,190
