name,area,assembly_id
PB-1,Musakhel/Sherani,5
PB-2,Zhob,5
PB-3,Killa Saifullah,5
PB-4,Loralai,5
PB-5,Duki,5
PB-6,Ziarat/Harnai,5
PB-7,Sibi/Lehri,5
PB-8,Barkhan,5
PB-9,Kohlu,5
PB-10,Dera Bugti,5
PB-11,Nasirabad-I,5
PB-12,Nasirabad-II,5
PB-13,Jaffarabad-I,5
PB-14,Jaffarabad-II,5
PB-15,Sohbat Pur,5
PB-16,Jhal Magsi,5
PB-17,Kachhi,5
PB-18,Pishin-I,5
PB-19,Pishin-II,5
PB-20,Pishin-III,5
PB-21,Killa Abdullah-I,5
PB-22,Killa Abdullah-II,5
PB-23,Killa Abdullah-III,5
PB-24,Quetta-I,5
PB-25,Quetta-II,5
PB-26,Quetta-III,5
PB-27,Quetta-IV,5
PB-28,Quetta-V,5
PB-29,Quetta-VI,5
PB-30,Quetta-VII,5
PB-31,Quetta-VIII,5
PB-32,Quetta-IX,5
PB-33,Nushki,5
PB-34,Chaghai,5
PB-35,Mastung,5
PB-36,Shaheed Sikandarabad,5
PB-37,Kalat,5
PB-38,Khuzdar-I,5
PB-39,Khuzdar-II,5
PB-40,Khuzdar-III,5
PB-41,Washuk,5
PB-42,Kharan,5
PB-43,Panjgur,5
PB-44,Awaran/Panjgur,5
PB-45,Kech-I,5
PB-46,Kech-II,5
PB-47,Kech-III,5
PB-48,Kech-IV,5
PB-49,Lasbela-I,5
PB-50,Lasbela-II,5
PB-51,Gwadar,5
