name,area,assembly_id
PS-1,Jacobabad-I,3
PS-2,Jacobabad-II,3
PS-3,Jacobabad-III,3
PS-4,Kashmore-I,3
PS-5,Kashmore-II,3
PS-6,Kashmore-III,3
PS-7,Shikarpur-I,3
PS-8,Shikarpur-II,3
PS-9,Shikarpur-III,3
PS-10,Larkana-I,3
PS-11,Larkana-II,3
PS-12,Larkana-III,3
PS-13,Larkana-IV,3
PS-14,Kamber Shahdadkot-I,3
PS-15,Kamber Shahdadkot-II,3
PS-16,Kamber Shahdadkot-III,3
PS-17,Kamber Shahdadkot-IV,3
PS-18,Ghotki-I,3
PS-19,Ghotki-II,3
PS-20,Ghotki-III,3
PS-21,Ghotki-IV,3
PS-22,Sukkur-I,3
PS-23,Sukkur-II,3
PS-24,Sukkur-III,3
PS-25,Sukkur-IV,3
PS-26,Khairpur-I,3
PS-27,Khairpur-II,3
PS-28,Khairpur-III,3
PS-29,Khairpur-IV,3
PS-30,Khairpur-V,3
PS-31,Khairpur-VI,3
PS-32,Khairpur-VII,3
PS-33,Naushahro Feroze-I,3
PS-34,Naushahro Feroze-II,3
PS-35,Naushahro Feroze-III,3
PS-36,Naushahro Feroze-IV,3
PS-37,Shaheed Benazir Abad-I,3
PS-38,Shaheed Benazir Abad-II,3
PS-39,Shaheed Benazir Abad-III,3
PS-40,Shaheed Benazir Abad-IV,3
PS-41,Sanghar-I,3
PS-42,Sanghar-II,3
PS-43,Sanghar-III,3
PS-44,Sanghar-IV,3
PS-45,Sanghar-V,3
PS-46,Sanghar-VI,3
PS-47,Mirpurkhas-I,3
PS-48,Mirpurkhas-II,3
PS-49,Mirpurkhas-III,3
PS-50,Mirpurkhas-IV,3
PS-51,Umerkot-I,3
PS-52,Umerkot-II,3
PS-53,Umerkot-III,3
PS-54,Tharparkar-I,3
PS-55,Tharparkar-II,3
PS-56,Tharparkar-III,3
PS-57,Tharparkar-IV,3
PS-58,Matiari-I,3
PS-59,Matiari-II,3
PS-60,Tando Allahyar-I,3
PS-61,Tando Allahyar-II,3
PS-62,Hyderabad-I,3
PS-63,Hyderabad-II,3
PS-64,Hyderabad-III,3
PS-65,Hyderabad-IV,3
PS-66,Hyderabad-V,3
PS-67,Hyderabad-VI,3
PS-68,Tando Muhammad Khan-I,3
PS-69,Tando Muhammad Khan-II,3
PS-70,Badin-I,3
PS-71,Badin-II,3
PS-72,Badin-III,3
PS-73,Badin-IV,3
PS-74,Badin-V,3
PS-75,Sujawal-I,3
PS-76,Sujawal-II,3
PS-77,Thatta-I,3
PS-78,Thatta-II,3
PS-79,Thatta-III,3
PS-80,Jamshoro-I,3
PS-81,Jamshoro-II,3
PS-82,Jamshoro-III,3
PS-83,Dadu-I,3
PS-84,Dadu-II,3
PS-85,Dadu-III,3
PS-86,Dadu-IV,3
PS-87,Malir-I,3
PS-88,Malir-II,3
PS-89,Malir-III,3
PS-90,Malir-IV,3
PS-91,Malir-V,3
PS-92,Korangi Karachii-I,3
PS-93,Korangi Karachi-II,3
PS-94,Korangi Karachi-III,3
PS-95,Korangi Karachi-IV,3
PS-96,Korangi Karachi-V,3
PS-97,Korangi Karachi-VI,3
PS-98,Korangi Karachi-VII,3
PS-99,Karachi East-I,3
PS-100,Karachi East-II,3
PS-101,Karachi East-III,3
PS-102,Karachi East-IV,3
PS-103,Karachi East-V,3
PS-104,Karachi East-VI,3
PS-105,Karachi East-VII,3
PS-106,Karachi East-VIII,3
PS-107,Karachi South-I,3
PS-108,Karachi South-II,3
PS-109,Karachi South-III,3
PS-110,Karachi South-IV,3
PS-111,Karachi South-V,3
PS-112,Karachi West-I,3
PS-113,Karachi West-II,3
PS-114,Karachi West-III,3
PS-115,Karachi West-IV,3
PS-116,Karachi West-V,3
PS-117,Karachi West-VI,3
PS-118,Karachi West-VII,3
PS-119,Karachi West-VIII,3
PS-120,Karachi West-IX,3
PS-121,Karachi West-X,3
PS-122,Karachi West-XI,3
PS-123,Karachi Central-I,3
PS-124,Karachi Central-II,3
PS-125,Karachi Central-III,3
PS-126,Karachi Central-IV,3
PS-127,Karachi Central-V,3
PS-128,Karachi Central-VI,3
PS-129,Karachi Central-VII,3
PS-130,Karachi Central-VIII,3
