name,area,assembly_id
NA-1,Chitral,1
NA-2,Swat-I,1
NA-3,Swat-II,1
NA-4,Swat-III,1
NA-5,Upper Dir,1
NA-6,Lower Dir,1
NA-7,Lower Dir-II,1
NA-8,Malakand,1
NA-9,Buner,1
NA-10,Shangla,1         
NA-11,Kohistan-cum-Lower,1     
NA-12,Battagram,1
NA-13,Maneshra-I,1
NA-14,Maneshra-cum-Torghar,1
NA-15,Abbottobad-I,1
NA-16,Abbottobad-II,1
NA-17,Haripur,1
NA-18,Swabi-I,1
NA-19,Swabi-II,1
NA-20,Mardan-I,1
NA-21,Mardan-II,1
NA-22,Mardan-III,1
NA-23,Charsadda-I,1
NA-24,Charsadda-II,1
NA-25,Nowshera-I,1
NA-26,Nowshera-II,1
NA-27,Peshawar-I,1
NA-28,Peshawar-II,1
NA-29,Peshawar-III,1
NA-30,Peshawar-IV,1
NA-31,Peshawar-V,1
NA-32,Kohat,1
NA-33,Hangu,1
NA-34,Karak,1
NA-35,Bannu,1
NA-36,Lakki Marwat,1
NA-37,Tank,1
NA-38,Dera Ismail Khan-I,1
NA-39,Dera Ismail Khan-II,1
NA-40,Tribal Area-I,1
NA-41,Tribal Area-II,1
NA-42,Tribal Area-III,1
NA-43,Tribal Areal-IV,1
NA-44,Tribal Area-V,1
NA-45,Tribal Area-VI,1
NA-46,Tribal Area-VII,1
NA-47,Tribal Area-VIII,1
NA-48,"Tribal Area-IX, North Waziristan Tribal District",1
NA-49,Tribal Area-X,1
NA-50,Tribal Area-XI,1
NA-51,Tribal Area-XII,1
NA-52,Islamabad-I,1
NA-53,Islamabad-II,1
NA-54,Islamabad-III,1
NA-55,Attock-I,1
NA-57,Rawalpindi-I,1
NA-58,Rawalpindi-II,1
NA-59,Rawalpindi-III,1
NA-60,Rawalpindi-IV,1
NA-61,Rawalpindi-V,1
NA-62,Rawalpindi-VI,1
NA-63,Rawalpindi-VII,1
NA-64,Chakwal-I,1
NA-65,Chakwal-II,1
NA-66,Jhelum-I,1
NA-67,Jhelum-II,1
NA-68,Gujrat-I,1
NA-69,Gujrat-II,1
NA-70,Gujrat-III,1
NA-71,Gujrat-IV,1
NA-72,Sialkot-I,1
NA-73,Sialkot-II,1
NA-74,Sialkot-III,1
NA-75,Sialkot-IV,1
NA-76,Sialkot-V,1
NA-77,Narrowal-I,1
NA-78,Narrowal-II,1
