name,symbol_id
Aam Admi Tehreek Pakistan,181
Aam Awam Party,322
Aam Log Party Pakistan,144
All Pakistan Minority Movement Pakistan,122
All Pakistan Muslim League,93
All Pakistan Muslim League (Jinnah),27
All Pakistan Tehreek,30
Allah-O-Akbar Tehreek,55
Amun Taraqqi Party,309
Awam League,143
Awami Justice Party Pakistan,303
Awami Muslim League Pakistan,146
Awami National Party,162
Awami Party Pakistan-S,2
Awami Workers Party,40
Balochistan Awami Party,70
Balochistan National Movement,246
Balochistan National Party,14
Balochistan National Party(Awami),49
Barabri Party Pakistan,117
Front National Pakistan,311
Grand Democratic Alliance,259
Hazara Democratic Party,72
Humdardan-e-Watan Pakistan,61
Islami Jamhoori Ittehad Pakistan,108
Islami Tehreek Pakistan,307
Ittehad-e-Ummat Pakistan,99
Jamat-e-Islami Pakistan,232
Jamhoori Watan Party,323
Jamiat Ulama-e-Islam Nazaryati Pakistan,274
Jamiat Ulama-e-Islam(F),195
Jamiat Ulema-e-Pakistan (Noorani),154
Jamiyat Ulma-e-Islam Pakistan(S),161
Jamote Qaumi Movement,95
Jannat Pakistan Party,111
Majlis Wahdat-e-Muslimeen Pakistan,282
Markazi Jamiat Ahl-e-Hadith,252
Mohajir Qaumi Movement (Pakistan),50
Move on Pakistan,189
Muhib-e-Watan Noujawan Anqlabion Ki Anjuman (MNAKA),52
Mustaqbil Pakistan,64
Mutahida Majlis-e-Amal Pakistan,31
Mutahidda Ulema Mashaikh Council of Pakistan,65
Mutahiddia Qabail Party,305
Mutihida League,22
Muttahida Qaumi Movement Pakistan,159
National Party,230
National Peace Council Party,267
Pak Sarzameen Party,85
Pakhtoonkhwa Milli Awami Party,295
Pakistan Aman Party,88
Pakistan Aman Tehreek,175
Pakistan Awami Inqelabi League,298
Pakistan Awami League,136
Pakistan Awami Raj,150
Pakistan Awami Tehreek,179
Pakistan Citizen Movement,291
Pakistan Conservative Party,289
Pakistan Falah Party,242
Pakistan Falahi Tehreek,168
Pakistan Freedom Movement,78
Pakistan Human Party,265
Pakistan Human Rights Party,310
Pakistan Islamic Republican Party,16
Pakistan Justice and Democratic Party,118
Pakistan Kissan Ittehad (Ch. Anwar),206
Pakistan Muslim Alliance,104
Pakistan Muslim League,292
Pakistan Muslim League (Council),174
Pakistan Muslim League (Functional),226
Pakistan Muslim League (Junejo),43
Pakistan Muslim League (N),284
Pakistan Muslim League (Zia-ul-Haq Shaheed),134
Pakistan Muslim League Organization,257
Pakistan Muslim League SHER-E-BANGAL A.K. Fazal-Ul-Haque,219
Pakistan National Muslim League,141
Pakistan Peoples Party,270
Pakistan Peoples Party (Shaheed Bhutto),105
Pakistan Peoples Party Parliamentarians,12
Pakistan Peoples Party Workers,312
Pakistan Quami Yakjehti Party,194
Pakistan Reh-e- Haq Party,147
Pakistan Siraiki Party (T),250
Pakistan Sunni Tehreek,272
Pakistan Supreme Democratic,82
Pakistan Tehreek-e-Insaf,19
Pakistan Tehreek-e-Insaf (Nazriati),20
Pakistan Tehreek-e-Insaf-Gulalai,214
Pakistan Tehreek-e-Insaniat,234
Pakistan Welfare Party,186
Pakistan Yaqeen Party,9
Pasban Pakistan,17
Peoples Movement of Pakistan,225
Peoples Muslim League (Pakistan),76
Qaumi Watan Party,58
Roshan Pakistan League,290
Saraikistan Democratic Party,80
Sindh United Party,53
Sunni Ittehad Council,137
Sunni Tehreek,60
Tabdeeli Pasand Party (Pakistan),75
Tehreek Labbaik Pakistan,71
Tehreek Tabdili Nizam Pakistan,97
Tehreek-e-Difa-e-Pakistan,33
Tehreek-e-Labbaik Islam,51
Tehreek-e-Suba Hazara Pakistan,300
Tehrik Jawanan Pakistan,163
