constituency_id,males,females
NA-1,151219,118360
NA-2,218821,164153
NA-3,227864,173260
NA-4,235150,173863
NA-5,268134,179280
NA-6,0,0
NA-7,0,0
NA-8,218057,168392
NA-9,250303,195171
NA-10,212294,162049
NA-11,89171,65449
NA-12,152297,105858
NA-13,292977,226613
NA-14,289724,228176
NA-15,262666,215670
NA-16,194555,165835
NA-17,354130,303518
NA-18,252515,196521
NA-19,262136,201497
NA-20,248987,181551
NA-21,243017,176696
NA-22,227868,161820
NA-23,240602,176974
NA-24,260525,202915
NA-25,0,0
NA-26,212839,165030
NA-27,196977,140352
NA-28,196071,140483
NA-29,189395,131006
NA-30,173754,135137
NA-31,223574,166637
NA-32,284678,222021
NA-33,160297,115650
NA-34,225953,178504
NA-35,328817,250055
NA-36,236162,185062
NA-37,103498,77374
NA-38,0,0
NA-39,188227,140201
NA-40,148400,107179
NA-41,140558,96595
NA-42,158842,96680
NA-43,126574,100053
NA-44,150956,114261
NA-45,95757,69611
NA-46,97487,75010
NA-47,94279,72927
NA-48,196668,77537
NA-49,97086,81207
NA-50,101007,44865
NA-51,151219,118360
NA-52,125183,109325
NA-53,166024,146119
NA-54,116285,102510
NA-55,303770,268034
NA-56,335872,303065
NA-57,311263,279109
NA-58,327734,301652
NA-59,188374,168825
NA-60,189464,167471
NA-61,193240,174542
NA-62,242330,210600
NA-63,195073,175894
NA-64,281361,269650
NA-65,287048,265475
NA-66,281136,260160
NA-67,213765,190447
NA-68,250249,203741
NA-69,254852,212526
NA-70,271688,223092
NA-71,265325,232175
NA-72,253287,194022
NA-73,265687,222706
NA-74,268538,207328
NA-75,254085,199019
NA-76,261804,208022
NA-77,292907,215088
NA-78,291358,224891
NA-79,303401,238447
NA-80,228084,174711
NA-81,275822,223859
NA-82,251812,189989
NA-83,260014,192834
NA-84,253674,184205
NA-85,281389,229079
NA-86,290329,22081
NA-87,384762,299685
NA-88,272965,223699
NA-89,247523,196091
NA-90,225700,195423
NA-91,253356,204565
NA-92,253624,209967
NA-93,226108,202628
NA-94,212399,187395
NA-95,251363,214377
